Feature,Importance
total_relationship_count,0.04672798418719388
customer_age,0.02100729343238933
months_on_book,0.016032762877445685
months_inactive_12_mon,0.013567988949952417
dependent_count,0.008221863998723062
income_category,0.007598727196998354
education_level,0.007541693558802221
marital_status,0.006156437440095427
gender,0.005417662088208998
card_category,0.0011906164259039382
